date,climate_sentence_count,text,word_count,Stemd_text,Sentiments
2022-03-01,7,well withstand devastating effects climate crisis promote environmental justice,18,well withstand devast effect climat crisi promot environment justic,neutral
2022-03-01,7,well withstand devastating effects climate crisis promote environmental justice,18,well withstand devast effect climat crisi promot environment justic,neutral
2022-03-01,7,well build national network 500000 electric vehicle charging stations begin replace poisonous lead pipesso every childand every americanhas clean water drink home school provide affordable highspeed internet every americanurban suburban rural tribal communities,42,well build nation network 500000 electr vehicl charg station begin replac poison lead pipesso everi childand everi americanha clean water drink home school provid afford highspe internet everi americanurban suburban rural tribal commun,positive
2022-03-01,7,secondcut energy costs families average 500 year combatting climate change,15,secondcut energi cost famili averag 500 year combat climat chang,neutral
2022-03-01,7,let us provide investments tax credits weatherize homes businesses energy efficient get tax credit double americas clean energy production solar wind much lower price electric vehicles saving another 80 month never pay gas pump,63,let us provid invest tax credit weather home busi energi effici get tax credit doubl america clean energi product solar wind much lower price electr vehicl save anoth 80 month never pay ga pump,positive
2022-03-01,7,let us provide investments tax credits weatherize homes businesses energy efficient get tax credit double americas clean energy production solar wind much lower price electric vehicles saving another 80 month never pay gas pump,63,let us provid invest tax credit weather home busi energi effici get tax credit doubl america clean energi product solar wind much lower price electr vehicl save anoth 80 month never pay ga pump,positive
2022-03-01,7,let us provide investments tax credits weatherize homes businesses energy efficient get tax credit double americas clean energy production solar wind much lower price electric vehicles saving another 80 month never pay gas pump,63,let us provid invest tax credit weather home busi energi effici get tax credit doubl america clean energi product solar wind much lower price electr vehicl save anoth 80 month never pay ga pump,positive
1983-09-05,1,ambassador nitze returned geneva resume negotiations intermediaterange nuclear weapons europe,16,ambassador nitz return geneva resum negoti intermediaterang nuclear weapon europ,neutral
2020-03-13,6,walgreens,1,walgreen,neutral
2020-03-13,6,cornell well mr president thank inviting us today along colleagues walmart walgreens partners cvs,24,cornel well mr presid thank invit us today along colleagu walmart walgreen partner cv,neutral
2020-03-13,6,near term committed making sure keeping stores open serve american consumer rapidly stocking household essentials key food beverage items need time making sure run safe stores creating environment safe team members making sure feel supported critical time,67,near term commit make sure keep store open serv american consum rapidli stock household essenti key food beverag item need time make sure run safe store creat environ safe team member make sure feel support critic time,positive
2020-03-13,6,mr president want join thanking walmart cvs target walgreen,16,mr presid want join thank walmart cv target walgreen,neutral
2020-03-13,6,areas virus spreading cdc advising communities postpone large gatherings postpone assemblies social functions sporting events stagger recess lunch schools canceled limit inperson meetings increase scheduled cleanings cancel worksponsored travelamong numerous steps taken,51,area viru spread cdc advis commun postpon larg gather postpon assembl social function sport event stagger recess lunch school cancel limit inperson meet increas schedul clean cancel worksponsor travelamong numer step taken,positive
2020-03-13,6,yeah specifically areas seeing pressure supply chain surface cleaners cleaning supplies paper goods particular,21,yeah specif area see pressur suppli chain surfac cleaner clean suppli paper good particular,positive
1991-01-16,2,determined knock saddam husseins nuclear bomb potential,11,determin knock saddam hussein nuclear bomb potenti,neutral
1991-01-16,2,world waited saddam sought add chemical weapons arsenal possesses infinitely dangerous weapon mass destructiona nuclear weapon,26,world wait saddam sought add chemic weapon arsen possess infinit danger weapon mass destructiona nuclear weapon,neutral
2016-05-15,15,applause place 3dprint prosthetic hands children devise rooftop wind arrays power entire office buildings clean renewable energy,31,applaus place 3dprint prosthet hand children devis rooftop wind array power entir offic build clean renew energi,positive
2016-05-15,15,applause place 3dprint prosthetic hands children devise rooftop wind arrays power entire office buildings clean renewable energy,31,applaus place 3dprint prosthet hand children devis rooftop wind array power entir offic build clean renew energi,positive
2016-05-15,15,applause place 3dprint prosthetic hands children devise rooftop wind arrays power entire office buildings clean renewable energy,31,applaus place 3dprint prosthet hand children devis rooftop wind array power entir offic build clean renew energi,positive
2016-05-15,15,environmentally conscious,5,environment consciou,neutral
2016-05-15,15,doubled production clean energy,8,doubl product clean energi,positive
2016-05-15,15,answer trade right way negotiating countries raise labor standards environmental standards make sure impose unfair tariffs american goods steal american intellectual property,43,answer trade right way negoti countri rais labor standard environment standard make sure impos unfair tariff american good steal american intellectu properti,positive
2016-05-15,15,calls mind words carl sagan graduated high school new jersey applause said judge progress courage questions depths answers willingness embrace true rather feels good debate around climate change perfect example,64,call mind word carl sagan graduat high school new jersey applaus said judg progress courag question depth answer willing embrac true rather feel good debat around climat chang perfect exampl,positive
2016-05-15,15,laughter wind starts blowing hard laughter think climate change issue,18,laughter wind start blow hard laughter think climat chang issu,negative
2016-05-15,15,laughter wind starts blowing hard laughter think climate change issue,18,laughter wind start blow hard laughter think climat chang issu,negative
2016-05-15,15,every day officials high office responsibilities mock overwhelming consensus worlds scientists human activities release carbon dioxide methane substances altering climate profound dangerous ways,42,everi day offici high offic respons mock overwhelm consensu world scientist human activ releas carbon dioxid methan substanc alter climat profound danger way,positive
2016-05-15,15,every day officials high office responsibilities mock overwhelming consensus worlds scientists human activities release carbon dioxide methane substances altering climate profound dangerous ways,42,everi day offici high offic respons mock overwhelm consensu world scientist human activ releas carbon dioxid methan substanc alter climat profound danger way,positive
2016-05-15,15,laughter mean listen climate change something subject political spin,14,laughter mean listen climat chang someth subject polit spin,negative
2016-05-15,15,applause act follow progress made paris progress making home generation feel brunt catastrophe,38,applaus act follow progress made pari progress make home gener feel brunt catastroph,neutral
2016-05-15,15,suggesting highest expressions humanity flourish economy functions well proposed budgets add environment protected,28,suggest highest express human flourish economi function well propos budget add environ protect,neutral
2016-05-15,15,cleaned air water,11,clean air water,positive
2009-01-15,1,americas air water lands measurably cleaner,9,america air water land measur cleaner,neutral
2009-09-09,2,come clean crises,11,come clean crise,positive
2009-09-09,2,finally health care system placing unsustainable burden taxpayers,12,final health care system place unsustain burden taxpay,neutral
1991-07-31,42,different time different winds blowing,9,differ time differ wind blow,neutral
1991-07-31,42,consider decisive stage want use ministers use window opportunity order really achieve progress sensitive area international politics,46,consid decis stage want use minist use window opportun order realli achiev progress sensit area intern polit,neutral
1991-07-31,42,president talked situation europe context implementing agreement helsinki agreement paris charter especially regard processes taking place region specifically noted situation yugoslavia expressed position understanding approach resolution issue serious one worries many us,67,presid talk situat europ context implement agreement helsinki agreement pari charter especi regard process take place region specif note situat yugoslavia express posit understand approach resolut issu seriou one worri mani us,neutral
1991-07-31,42,going forward space cooperation cooperation environment,10,go forward space cooper cooper environ,neutral
1991-07-31,42,emphasized necessity sides respect basic principles indicated helsinki act paris charter,21,emphas necess side respect basic principl indic helsinki act pari charter,neutral
1991-07-31,42,quite bit happened us since paris,10,quit bit happen us sinc pari,neutral
1991-07-31,42,would ask think back 1986 reykjavik summit ronald reagan horrified quite american nuclear experts almost european leaders giving serious consideration proposal president gorbachev ban nuclear weapons,47,would ask think back 1986 reykjavik summit ronald reagan horrifi quit american nuclear expert almost european leader give seriou consider propos presid gorbachev ban nuclear weapon,neutral
1991-07-31,42,end reagan said belief nuclear deterrence fact kept peace,19,end reagan said belief nuclear deterr fact kept peac,neutral
1991-07-31,42,two saying work towards total nuclear ban,18,two say work toward total nuclear ban,neutral
1991-07-31,42,still believe efficacy nuclear deterrence keeping peace,14,still believ efficaci nuclear deterr keep peac,neutral
1991-07-31,42,particularly sir ask president bush given fact breakaway republics nuclear weapons knows would happen declare independence,32,particularli sir ask presid bush given fact breakaway republ nuclear weapon know would happen declar independ,neutral
1991-07-31,42,fact would suggest breakaway republic going use nuclear weapon united states would suggest every reason world concerned renegades areas perhaps hope getting hold nuclear weapons,56,fact would suggest breakaway republ go use nuclear weapon unit state would suggest everi reason world concern renegad area perhap hope get hold nuclear weapon,neutral
1991-07-31,42,view countries possess nuclear weapons,10,view countri possess nuclear weapon,neutral
1991-07-31,42,thing risk errant nuclear missile aiming country,14,thing risk errant nuclear missil aim countri,neutral
1991-07-31,42,think argument want ascribe policy looked upon nuclear weapons element deterrence true,29,think argument want ascrib polici look upon nuclear weapon element deterr true,positive
1991-07-31,42,mapped things future probably also questions put members nuclear club also think nuclear weapons future,42,map thing futur probabl also question put member nuclear club also think nuclear weapon futur,neutral
1991-07-31,42,finally must carefully act mechanism created seems worked apparently effectively enough nonproliferation nuclear weapons,32,final must care act mechan creat seem work appar effect enough nonprolifer nuclear weapon,neutral
1991-07-31,42,certain countries lower arms disarm head direction nonnuclear world time others find ways develop process order nuclear weapons situation absurd,49,certain countri lower arm disarm head direct nonnuclear world time other find way develop process order nuclear weapon situat absurd,negative
1991-07-31,42,continuing support nuclear disarmament within framework negotiation process agreed continue,24,continu support nuclear disarma within framework negoti process agre continu,neutral
1991-07-31,42,question truly improving mechanism nonproliferation nuclear technology order missile technology order create unsurmountable barrier area,29,question truli improv mechan nonprolifer nuclear technolog order missil technolog order creat unsurmount barrier area,neutral
1991-07-31,42,would say following must within framework documents general path mapped helsinki paris agreements act way old institutions transformed interest new europe serve interest single economic territory single security europe legal aspect,63,would say follow must within framework document gener path map helsinki pari agreement act way old institut transform interest new europ serv interest singl econom territori singl secur europ legal aspect,positive
1991-07-31,42,different time different winds blowing,9,differ time differ wind blow,neutral
1991-07-31,42,consider decisive stage want use ministers use window opportunity order really achieve progress sensitive area international politics,46,consid decis stage want use minist use window opportun order realli achiev progress sensit area intern polit,neutral
1991-07-31,42,president talked situation europe context implementing agreement helsinki agreement paris charter especially regard processes taking place region specifically noted situation yugoslavia expressed position understanding approach resolution issue serious one worries many us,67,presid talk situat europ context implement agreement helsinki agreement pari charter especi regard process take place region specif note situat yugoslavia express posit understand approach resolut issu seriou one worri mani us,neutral
1991-07-31,42,going forward space cooperation cooperation environment,10,go forward space cooper cooper environ,neutral
1991-07-31,42,emphasized necessity sides respect basic principles indicated helsinki act paris charter,21,emphas necess side respect basic principl indic helsinki act pari charter,neutral
1991-07-31,42,quite bit happened us since paris,10,quit bit happen us sinc pari,neutral
1991-07-31,42,would ask think back 1986 reykjavik summit ronald reagan horrified quite american nuclear experts almost european leaders giving serious consideration proposal president gorbachev ban nuclear weapons,47,would ask think back 1986 reykjavik summit ronald reagan horrifi quit american nuclear expert almost european leader give seriou consider propos presid gorbachev ban nuclear weapon,neutral
1991-07-31,42,end reagan said belief nuclear deterrence fact kept peace,19,end reagan said belief nuclear deterr fact kept peac,neutral
1991-07-31,42,two saying work towards total nuclear ban,18,two say work toward total nuclear ban,neutral
1991-07-31,42,still believe efficacy nuclear deterrence keeping peace,14,still believ efficaci nuclear deterr keep peac,neutral
1991-07-31,42,particularly sir ask president bush given fact breakaway republics nuclear weapons knows would happen declare independence,32,particularli sir ask presid bush given fact breakaway republ nuclear weapon know would happen declar independ,neutral
1991-07-31,42,fact would suggest breakaway republic going use nuclear weapon united states would suggest every reason world concerned renegades areas perhaps hope getting hold nuclear weapons,56,fact would suggest breakaway republ go use nuclear weapon unit state would suggest everi reason world concern renegad area perhap hope get hold nuclear weapon,neutral
1991-07-31,42,view countries possess nuclear weapons,10,view countri possess nuclear weapon,neutral
1991-07-31,42,thing risk errant nuclear missile aiming country,14,thing risk errant nuclear missil aim countri,neutral
1991-07-31,42,think argument want ascribe policy looked upon nuclear weapons element deterrence true,29,think argument want ascrib polici look upon nuclear weapon element deterr true,positive
1991-07-31,42,mapped things future probably also questions put members nuclear club also think nuclear weapons future,42,map thing futur probabl also question put member nuclear club also think nuclear weapon futur,neutral
1991-07-31,42,finally must carefully act mechanism created seems worked apparently effectively enough nonproliferation nuclear weapons,32,final must care act mechan creat seem work appar effect enough nonprolifer nuclear weapon,neutral
1991-07-31,42,certain countries lower arms disarm head direction nonnuclear world time others find ways develop process order nuclear weapons situation absurd,49,certain countri lower arm disarm head direct nonnuclear world time other find way develop process order nuclear weapon situat absurd,negative
1991-07-31,42,continuing support nuclear disarmament within framework negotiation process agreed continue,24,continu support nuclear disarma within framework negoti process agre continu,neutral
1991-07-31,42,question truly improving mechanism nonproliferation nuclear technology order missile technology order create unsurmountable barrier area,29,question truli improv mechan nonprolifer nuclear technolog order missil technolog order creat unsurmount barrier area,neutral
1991-07-31,42,would say following must within framework documents general path mapped helsinki paris agreements act way old institutions transformed interest new europe serve interest single economic territory single security europe legal aspect,63,would say follow must within framework document gener path map helsinki pari agreement act way old institut transform interest new europ serv interest singl econom territori singl secur europ legal aspect,positive
1974-04-29,2,third context current impeachment climate believe american people well representatives congress entitled facts also evidence demonstrates facts,38,third context current impeach climat believ american peopl well repres congress entitl fact also evid demonstr fact,neutral
1974-04-29,2,last process fulfilling hope mankind limitation nuclear armsa process continue meet soviet leaders moscow weeks,36,last process fulfil hope mankind limit nuclear armsa process continu meet soviet leader moscow week,neutral
1975-04-23,5,state mind melting pot represents best americas evolution example retention special culture progressive environment modern change,34,state mind melt pot repres best america evolut exampl retent special cultur progress environ modern chang,positive
1975-04-23,5,recognize need technology enriches life preserving natural environment,14,recogn need technolog enrich life preserv natur environ,neutral
1975-04-23,5,goal stimulate productivity use technology redeem destroy environment,16,goal stimul product use technolog redeem destroy environ,negative
1975-04-23,5,challenge engineers audience devise new techniques developing cheap clean plentiful energy byproduct control floods,25,challeng engin audienc devis new techniqu develop cheap clean plenti energi byproduct control flood,positive
1975-04-23,5,new agenda developed us must place high priority need stop spread nuclear weapons work mutual reduction strategic arms control weapons,42,new agenda develop us must place high prioriti need stop spread nuclear weapon work mutual reduct strateg arm control weapon,positive
2008-10-03,1,prevents failed executives receiving windfalls taxpayers dollars,10,prevent fail execut receiv windfal taxpay dollar,negative
2017-01-10,6,long sweep america defined forward motion constant widening founding creed embrace someif told 8 years ago america would reverse great recession reboot auto industry unleash longest stretch job creation history told would open new chapter cuban people shut irans nuclear weapons program without firing shot take mastermind 911 told would win marriage equality secure right health insurance another 20 million fellow citizensif told might said sights set little high,132,long sweep america defin forward motion constant widen found creed embrac someif told 8 year ago america would revers great recess reboot auto industri unleash longest stretch job creation histori told would open new chapter cuban peopl shut iran nuclear weapon program without fire shot take mastermind 911 told would win marriag equal secur right health insur anoth 20 million fellow citizensif told might said sight set littl high,positive
2017-01-10,6,take challenge climate change,6,take challeng climat chang,neutral
2017-01-10,6,8 years halved dependence foreign oil doubled renewable energy led world agreement promise save planet,34,8 year halv depend foreign oil doubl renew energi led world agreement promis save planet,negative
2017-01-10,6,without bolder action children time debate existence climate change,17,without bolder action children time debat exist climat chang,positive
2017-01-10,6,busy dealing effects environmental disasters economic disruptions waves climate refugees seeking sanctuarynow argue best approach solve problem,33,busi deal effect environment disast econom disrupt wave climat refuge seek sanctuarynow argu best approach solv problem,positive
2017-01-10,6,busy dealing effects environmental disasters economic disruptions waves climate refugees seeking sanctuarynow argue best approach solve problem,33,busi deal effect environment disast econom disrupt wave climat refuge seek sanctuarynow argu best approach solv problem,positive
1983-03-23,18,took one kind military force deter attack far nuclear weapons power takes another kind soviets example enough accurate powerful nuclear weapons destroy virtually missiles ground,49,took one kind militari forc deter attack far nuclear weapon power take anoth kind soviet exampl enough accur power nuclear weapon destroy virtual missil ground,positive
1983-03-23,18,well different world defenses must based recognition awareness weaponry possessed nations nuclear age,27,well differ world defens must base recognit awar weaponri possess nation nuclear age,negative
1983-03-23,18,past decade half soviets built massive arsenal new strategic nuclear weaponsweapons strike directly united states,28,past decad half soviet built massiv arsen new strateg nuclear weaponsweapon strike directli unit state,negative
1983-03-23,18,another example happened 1978 soviets 600 intermediaterange nuclear missiles based land beginning add ss20a new highly accurate mobile missile 3 warheads,33,anoth exampl happen 1978 soviet 600 intermediaterang nuclear missil base land begin add ss20a new highli accur mobil missil 3 warhead,negative
1983-03-23,18,know many seriously believe nuclear freeze would peace,19,know mani serious believ nuclear freez would peac,negative
1983-03-23,18,time working start inf negotiations goal achieving deep reductions strategic intermediate nuclear arsenals sides,29,time work start inf negoti goal achiev deep reduct strateg intermedi nuclear arsen side,neutral
1983-03-23,18,since advent nuclear weapons steps increasingly directed toward deterrence aggression promise retaliation,22,sinc advent nuclear weapon step increasingli direct toward deterr aggress promis retali,positive
1983-03-23,18,allies succeeded preventing nuclear war three decades,15,alli succeed prevent nuclear war three decad,neutral
1983-03-23,18,one important contributions make course lower level arms particularly nuclear arms,23,one import contribut make cours lower level arm particularli nuclear arm,neutral
1983-03-23,18,soviet union join us effort achieve major arms reduction succeeded stabilizing nuclear balance,25,soviet union join us effort achiev major arm reduct succeed stabil nuclear balanc,positive
1983-03-23,18,proceed must remain constant preserving nuclear deterrent maintaining solid capability flexible response,21,proceed must remain constant preserv nuclear deterr maintain solid capabl flexibl respons,neutral
1983-03-23,18,worth every investment necessary free world threat nuclear war,18,worth everi invest necessari free world threat nuclear war,positive
1983-03-23,18,meantime continue pursue real reductions nuclear arms negotiating position strength ensured modernizing strategic forces,29,meantim continu pursu real reduct nuclear arm negoti posit strength ensur modern strateg forc,positive
1983-03-23,18,time must take steps reduce risk conventional military conflict escalating nuclear war improving nonnuclear capabilities,26,time must take step reduc risk convent militari conflict escal nuclear war improv nonnuclear capabl,neutral
1983-03-23,18,america possessnowthe technologies attain significant improvements effectiveness conventional nonnuclear forces,17,america possessnowth technolog attain signific improv effect convent nonnuclear forc,neutral
1983-03-23,18,considerations firmly mind call upon scientific community country gave us nuclear weapons turn great talents mankind world peace give us means rendering nuclear weapons impotent obsolete,49,consider firmli mind call upon scientif commun countri gave us nuclear weapon turn great talent mankind world peac give us mean render nuclear weapon impot obsolet,positive
1983-03-23,18,directing comprehensive intensive effort define longterm research development program begin achieve ultimate goal eliminating threat posed strategic nuclear missiles,32,direct comprehens intens effort defin longterm research develop program begin achiev ultim goal elimin threat pose strateg nuclear missil,positive
1983-03-23,18,purposeone people shareis search ways reduce danger nuclear war,17,purposeon peopl sharei search way reduc danger nuclear war,neutral
1995-10-16,4,america must clean house racism,8,america must clean hous racism,positive
1995-10-16,4,say must clean house white america racism,14,say must clean hous white america racism,positive
1995-10-16,4,must clean house,5,must clean hous,positive
1995-10-16,4,house must cleaned racism,12,hous must clean racism,positive
2004-01-20,5,part offensive terror also confronting regimes harbor support terrorists could supply nuclear chemical biological weapons,28,part offens terror also confront regim harbor support terrorist could suppli nuclear chemic biolog weapon,neutral
2004-01-20,5,last month leader libya voluntarily pledged disclose dismantle regimes weapons mass destruction programs including uranium enrichment project nuclear weapons,29,last month leader libya voluntarili pledg disclos dismantl regim weapon mass destruct program includ uranium enrich project nuclear weapon,neutral
2004-01-20,5,along nations region insisting north korea eliminate nuclear program,15,along nation region insist north korea elimin nuclear program,neutral
2004-01-20,5,america international community demanding iran meet commitments develop nuclear weapons,17,america intern commun demand iran meet commit develop nuclear weapon,neutral
2004-01-20,5,consumers businesses need reliable supplies energy make economy run urge pass legislation modernize electricity system promote conservation make america less dependent foreign sources energy,37,consum busi need reliabl suppli energi make economi run urg pass legisl modern electr system promot conserv make america less depend foreign sourc energi,negative
1981-06-29,1,well poor people country experience elation found economic freedom solid job productive jobnot one concocted government dependent washington winds real job could put good days work complain boss go home confidence selfrespect,61,well poor peopl countri experi elat found econom freedom solid job product jobnot one concoct govern depend washington wind real job could put good day work complain boss go home confid selfrespect,positive
1990-09-11,5,pointed conservation efforts essential keep energy needs low possible,19,point conserv effort essenti keep energi need low possibl,neutral
1990-09-11,5,must take advantage energy sources across board coal natural gas hydro nuclear,19,must take advantag energi sourc across board coal natur ga hydro nuclear,neutral
1990-09-11,5,must take advantage energy sources across board coal natural gas hydro nuclear,19,must take advantag energi sourc across board coal natur ga hydro nuclear,neutral
1990-09-11,5,something else curb proliferation chemical biological ballistic missile nuclear technologies,17,someth els curb prolifer chemic biolog ballist missil nuclear technolog,neutral
1990-09-11,5,third congress month enact measures increase domestic energy production energy conservation order reduce dependence foreign oil,25,third congress month enact measur increas domest energi product energi conserv order reduc depend foreign oil,negative
1989-01-11,5,favorite windows like stand look early morning,23,favorit window like stand look earli morn,neutral
1989-01-11,5,thinking bit window,9,think bit window,neutral
1989-01-11,5,superpowers actually begun reduce stockpiles nuclear weaponsand hope even progress brightbut regional conflicts rack globe also beginning cease,33,superpow actual begun reduc stockpil nuclear weaponsand hope even progress brightbut region conflict rack globe also begin ceas,neutral
1989-01-11,5,past days window upstairs thought bit shining city upon hill phrase comes john winthrop wrote describe america imagined,39,past day window upstair thought bit shine citi upon hill phrase come john winthrop wrote describ america imagin,negative
1989-01-11,5,mind tall proud city built rocks stronger oceans windswept godblessed teeming people kinds living harmony peace city free ports hummed commerce creativity,41,mind tall proud citi built rock stronger ocean windswept godbless teem peopl kind live harmoni peac citi free port hum commerc creativ,positive
1988-01-25,8,speak startling hope giving children future free totalitarianism nuclear terror,19,speak startl hope give children futur free totalitarian nuclear terror,positive
1988-01-25,8,yet congress administration work together even greater opportunities lie ahead expand growing world economy continue reduce threat nuclear arms extend frontiers freedom growth democratic institutions,42,yet congress administr work togeth even greater opportun lie ahead expand grow world economi continu reduc threat nuclear arm extend frontier freedom growth democrat institut,positive
1988-01-25,8,yet even work expand world freedom must build safer peace reduce danger nuclear war,22,yet even work expand world freedom must build safer peac reduc danger nuclear war,neutral
1988-01-25,8,recently signed inf treaty historic reduces nuclear arms establishes stringent verification regime arms control history including several forms shortnotice onsite inspection,30,recent sign inf treati histor reduc nuclear arm establish stringent verif regim arm control histori includ sever form shortnotic onsit inspect,neutral
1988-01-25,8,mentioned earlier efforts give future generations never hada future free nuclear terror,20,mention earlier effort give futur gener never hada futur free nuclear terror,positive
1988-01-25,8,reduces risk war threat nuclear weapons mankind,15,reduc risk war threat nuclear weapon mankind,neutral
1988-01-25,8,must also remember sdi insurance policy nuclear accident chernobyl sky accidental launch madman might come along,30,must also rememb sdi insur polici nuclear accid chernobyl sky accident launch madman might come along,neutral
1988-01-25,8,start decade suggested live equally momentous times us decide whether form government would endure whether history still place greatness quiet pleasant greening land called america,48,start decad suggest live equal moment time us decid whether form govern would endur whether histori still place great quiet pleasant green land call america,positive
1995-11-27,2,implementing agreement bosnia end terrible suffering people warfare mass executions ethnic cleansing campaigns rape terror,27,implement agreement bosnia end terribl suffer peopl warfar mass execut ethnic cleans campaign rape terror,neutral
1995-11-27,2,efforts turn help create secure environment people bosnia return homes vote free elections begin rebuild lives,32,effort turn help creat secur environ peopl bosnia return home vote free elect begin rebuild live,positive
1973-08-15,1,let us allow overzealous people watergate tar reputation millions dedicated americans parties fought hard clean candidates choice 1972,38,let us allow overzeal peopl waterg tar reput million dedic american parti fought hard clean candid choic 1972,positive
2012-01-24,24,tonight want speak move forward lay blueprint economy built last economy built american manufacturing american energy skills american workers renewal american values,42,tonight want speak move forward lay blueprint economi built last economi built american manufactur american energi skill american worker renew american valu,neutral
2012-01-24,24,applause strategy cleaner cheaper full new jobs,13,applaus strategi cleaner cheaper full new job,positive
2012-01-24,24,development natural gas create jobs power trucks factories cleaner cheaper proving choose environment economy,32,develop natur ga creat job power truck factori cleaner cheaper prove choos environ economi,neutral
2012-01-24,24,development natural gas create jobs power trucks factories cleaner cheaper proving choose environment economy,32,develop natur ga creat job power truck factori cleaner cheaper prove choos environ economi,neutral
2012-01-24,24,applause true natural gas true clean energy,25,applaus true natur ga true clean energi,positive
2012-01-24,24,federal investments renewable energy use nearly doubled thousands americans jobs,19,feder invest renew energi use nearli doubl thousand american job,neutral
2012-01-24,24,found work energetx wind turbine manufacturer michigan,12,found work energetx wind turbin manufactur michigan,neutral
2012-01-24,24,walk away promise clean energy,12,walk away promis clean energi,positive
2012-01-24,24,applause cede wind solar battery industry china germany refuse make commitment,26,applaus cede wind solar batteri industri china germani refus make commit,neutral
2012-01-24,24,applause cede wind solar battery industry china germany refuse make commitment,26,applaus cede wind solar batteri industri china germani refus make commit,neutral
2012-01-24,24,applause time end taxpayer giveaways industry rarely profitable doubledown clean energy industry never promising,31,applaus time end taxpay giveaway industri rare profit doubledown clean energi industri never promis,positive
2012-01-24,24,pass clean energy tax credits,5,pass clean energi tax credit,positive
2012-01-24,24,differences chamber may deep right pass comprehensive plan fight climate change,20,differ chamber may deep right pass comprehens plan fight climat chang,positive
2012-01-24,24,reason congress least set clean energy standard creates market innovation,22,reason congress least set clean energi standard creat market innov,positive
2012-01-24,24,directing administration allow development clean energy enough public land power 3 million homes,21,direct administr allow develop clean energi enough public land power 3 million home,positive
2012-01-24,24,proud announce department defense working us worlds largest consumer energy make one largest commitments clean energy history navy purchasing enough capacity power quarter million homes year,49,proud announc depart defens work us world largest consum energi make one largest commit clean energi histori navi purchas enough capac power quarter million home year,positive
2012-01-24,24,energy bills 100 billion lower next decade america less pollution manufacturing jobs construction workers need,28,energi bill 100 billion lower next decad america less pollut manufactur job construct worker need,negative
2012-01-24,24,applause back protecting kids mercury poisoning making sure food safe water clean,27,applaus back protect kid mercuri poison make sure food safe water clean,positive
2012-01-24,24,hand even republican friends complain government spending supported federally financed roads clean energy projects federal offices folks back home,32,hand even republican friend complain govern spend support feder financ road clean energi project feder offic folk back home,positive
2012-01-24,24,applause position strength begun wind war afghanistan,16,applaus posit strength begun wind war afghanistan,neutral
2012-01-24,24,power diplomacy world divided deal irans nuclear program stands one,24,power diplomaci world divid deal iran nuclear program stand one,neutral
2012-01-24,24,let doubt america determined prevent iran getting nuclear weapon take options table achieve goal,30,let doubt america determin prevent iran get nuclear weapon take option tabl achiev goal,neutral
2012-01-24,24,renewal american leadership felt across globe,11,renew american leadership felt across globe,neutral
2012-01-24,24,coalitions built secure nuclear materials missions led hunger disease blows dealt enemies enduring power moral example america back,40,coalit built secur nuclear materi mission led hunger diseas blow dealt enemi endur power moral exampl america back,neutral
2018-01-30,9,18 hours wind rain ashlee braved live power lines deep water help save 40 lives,22,18 hour wind rain ashle brave live power line deep water help save 40 live,positive
2018-01-30,9,ended war american energyand ended war clean coal,16,end war american energyand end war clean coal,positive
